fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,log_residual_sugar,log_chlorides,log_total_sulfur_dioxide,log_sulphates
7.0,0.975,0.04,2.0,0.087,67.0,0.99565,3.35,0.6,9.4,4,1.0986122886681098,0.08342160813907239,4.219507705176107,0.4700036292457355
8.1,0.56,0.28,1.7,0.368,56.0,0.9968,3.11,1.28,9.3,5,0.9932517730102833,0.3133498192003587,4.04305126783455,0.8241754429663494
5.9,0.645,0.12,2.0,0.075,44.0,0.99547,3.57,0.71,10.2,5,1.0986122886681098,0.07232066157962612,3.8066624897703196,0.5364933705145685
6.3,0.39,0.08,1.7,0.066,20.0,0.9954,3.34,0.58,9.4,5,0.9932517730102833,0.0639133257436528,3.044522437723423,0.4574248470388754
5.9,0.44,0.0,1.6,0.042,11.0,0.9944,3.48,0.85,11.7,6,0.9555114450274363,0.04114194333117518,2.4849066497880004,0.6151856390902335
8.8,0.44,0.49,2.8,0.083,111.0,0.9982,3.3,0.6,9.5,5,1.33500106673234,0.07973496801885356,4.718498871295094,0.4700036292457355
7.6,0.715,0.0,2.1,0.068,35.0,0.99533,3.48,0.65,11.4,6,1.1314021114911006,0.0657877405380031,3.58351893845611,0.5007752879124893
6.1,0.4,0.16,1.8,0.069,25.0,0.9955,3.42,0.74,10.1,7,1.0296194171811583,0.06672363204290818,3.258096538021482,0.5538851132264376
8.2,0.38,0.32,2.5,0.08,71.0,0.99624,3.27,0.85,11.0,6,1.252762968495368,0.07696104113612832,4.276666119016055,0.6151856390902335
10.7,0.9,0.34,6.6,0.1119999999999999,99.0,1.00289,3.22,0.68,9.3,5,2.028148247292285,0.10616019582839055,4.605170185988092,0.5187937934151676
9.3,0.4,0.49,2.5,0.085,142.0,0.9978,3.22,0.55,9.4,5,1.252762968495368,0.08157998699242287,4.962844630259907,0.4382549309311553
10.6,0.36,0.6,2.2,0.152,18.0,0.9986,3.04,1.06,9.4,5,1.1631508098056809,0.1414995622736995,2.9444389791664403,0.7227059828014898
7.5,0.52,0.11,1.5,0.079,39.0,0.9968,3.42,0.58,9.6,5,0.9162907318741551,0.0760346862759976,3.6888794541139363,0.4574248470388754
6.9,0.48,0.2,1.9,0.0819999999999999,23.0,0.99585,3.39,0.43,9.05,4,1.0647107369924282,0.0788111804242897,3.1780538303479458,0.3576744442718159
10.6,0.36,0.57,2.3,0.087,20.0,0.99676,3.14,0.72,11.1,7,1.1939224684724346,0.08342160813907239,3.044522437723423,0.5423242908253617
5.9,0.395,0.13,2.4,0.0559999999999999,28.0,0.99362,3.62,0.67,12.4,6,1.2237754316221157,0.05448818528406963,3.367295829986474,0.5128236264286637
7.4,0.7,0.0,1.9,0.076,34.0,0.9978,3.51,0.56,9.4,5,1.0647107369924282,0.07325046173959267,3.5553480614894135,0.44468582126144574
8.1,0.78,0.1,3.3,0.09,13.0,0.99855,3.36,0.49,9.5,5,1.4586150226995167,0.08617769624105233,2.6390573296152584,0.3987761199573678
7.4,0.52,0.13,2.4,0.078,61.0,0.99528,3.43,0.59,10.8,6,1.2237754316221157,0.07510747248680541,4.127134385045092,0.4637340162321401
7.9,0.3,0.68,8.3,0.05,289.0,0.99316,3.01,0.51,12.3,7,2.2300144001592104,0.04879016416943201,5.66988092298052,0.412109650826833
8.3,0.61,0.3,2.1,0.084,50.0,0.9972,3.4,0.61,10.2,6,1.1314021114911006,0.08065790301745447,3.9318256327243257,0.4762341789963716
10.4,0.52,0.45,2.0,0.08,13.0,0.99774,3.22,0.76,11.4,6,1.0986122886681098,0.07696104113612832,2.6390573296152584,0.5653138090500605
7.3,0.55,0.01,1.8,0.093,15.0,0.99514,3.35,0.58,11.0,7,1.0296194171811583,0.08892620919440151,2.772588722239781,0.4574248470388754
7.8,0.57,0.31,1.8,0.069,120.0,0.99625,3.29,0.53,9.3,5,1.0296194171811583,0.06672363204290818,4.795790545596741,0.4252677354043441
7.7,0.23,0.37,1.8,0.046,60.0,0.9971,3.41,0.71,12.1,6,1.0296194171811583,0.044973365642731154,4.110873864173311,0.5364933705145685
7.7,0.27,0.68,3.5,0.358,10.0,0.9972,3.25,1.08,9.9,7,1.5040773967762742,0.30601302913650436,2.3978952727983707,0.7323678937132266
7.8,0.76,0.04,2.3,0.092,54.0,0.997,3.26,0.65,9.8,5,1.1939224684724346,0.0880108773227133,4.007333185232471,0.5007752879124893
6.3,0.39,0.16,1.4,0.08,23.0,0.9955,3.34,0.56,9.3,5,0.8754687373538999,0.07696104113612832,3.1780538303479458,0.44468582126144574
10.6,0.5,0.45,2.6,0.119,68.0,0.99708,3.23,0.72,10.9,6,1.2809338454620642,0.11243542932978817,4.23410650459726,0.5423242908253617
9.1,0.22,0.24,2.1,0.078,28.0,0.999,3.41,0.87,10.3,6,1.1314021114911006,0.07510747248680541,3.367295829986474,0.6259384308664953
7.8,0.87,0.26,3.8,0.107,67.0,0.99668,3.26,0.46,9.2,5,1.5686159179138452,0.10165365372649983,4.219507705176107,0.3784364357202451
9.3,0.39,0.4,2.6,0.073,26.0,0.9984,3.34,0.75,10.2,6,1.2809338454620642,0.07045846364856141,3.295836866004329,0.5596157879354227
9.0,0.53,0.49,1.9,0.171,25.0,0.9975,3.27,0.61,9.4,6,1.0647107369924282,0.1578580846155803,3.258096538021482,0.4762341789963716
7.6,0.78,0.0,1.7,0.076,45.0,0.99612,3.31,0.62,10.7,6,0.9932517730102833,0.07325046173959267,3.828641396489095,0.4824261492442927
7.9,0.37,0.23,1.8,0.077,49.0,0.9963,3.28,0.67,9.3,5,1.0296194171811583,0.07417939817425151,3.912023005428146,0.5128236264286637
8.2,0.5,0.35,2.9,0.077,127.0,0.9976,3.23,0.62,9.4,5,1.3609765531356006,0.07417939817425151,4.852030263919617,0.4824261492442927
8.9,0.595,0.41,7.9,0.086,109.0,0.9998,3.27,0.57,9.3,5,2.186051276738094,0.08250122151174369,4.700480365792417,0.4510756193602167
8.2,0.33,0.32,2.8,0.067,12.0,0.99473,3.3,0.76,12.8,7,1.33500106673234,0.06485097231961631,2.5649493574615367,0.5653138090500605
8.2,0.39,0.38,1.5,0.0579999999999999,29.0,0.9962,3.26,0.74,9.8,5,0.9162907318741551,0.056380333436107544,3.4011973816621555,0.5538851132264376
5.2,0.48,0.04,1.6,0.054,106.0,0.9927,3.54,0.62,12.2,7,0.9555114450274363,0.05259245011917058,4.672828834461906,0.4824261492442927
12.7,0.59,0.45,2.3,0.0819999999999999,22.0,1.0,3.0,0.7,9.3,6,1.1939224684724346,0.0788111804242897,3.1354942159291497,0.5306282510621704
10.3,0.43,0.44,2.4,0.214,12.0,0.9994,3.19,0.63,9.5,6,1.2237754316221157,0.19392069263730652,2.5649493574615367,0.48858001481867097
6.3,0.3,0.48,1.8,0.069,61.0,0.9959,3.44,0.78,10.3,6,1.0296194171811583,0.06672363204290818,4.127134385045092,0.5766133643039938
7.2,0.62,0.06,2.7,0.077,85.0,0.99746,3.51,0.54,9.5,5,1.308332819650179,0.07417939817425151,4.454347296253507,0.43178241642553783
8.1,0.725,0.22,2.2,0.072,41.0,0.9967,3.36,0.55,9.1,5,1.1631508098056809,0.06952606264861023,3.7376696182833684,0.4382549309311553
7.6,0.41,0.24,1.8,0.08,11.0,0.9962,3.28,0.59,9.5,5,1.0296194171811583,0.07696104113612832,2.4849066497880004,0.4637340162321401
10.0,0.73,0.43,2.3,0.059,31.0,0.9966,3.15,0.57,11.0,5,1.1939224684724346,0.0573250666192694,3.4657359027997265,0.4510756193602167
9.0,0.66,0.17,3.0,0.077,13.0,0.9976,3.29,0.55,10.4,5,1.3862943611198906,0.07417939817425151,2.6390573296152584,0.4382549309311553
8.2,0.31,0.4,2.2,0.0579999999999999,10.0,0.99536,3.31,0.68,11.2,7,1.1631508098056809,0.056380333436107544,2.3978952727983707,0.5187937934151676
6.5,0.885,0.0,2.3,0.166,12.0,0.99551,3.56,0.51,10.8,5,1.1939224684724346,0.15357908792830063,2.5649493574615367,0.412109650826833
7.1,0.59,0.01,2.3,0.08,43.0,0.9955,3.42,0.58,10.7,6,1.1939224684724346,0.07696104113612832,3.784189633918261,0.4574248470388754
9.9,0.27,0.49,5.0,0.0819999999999999,17.0,0.99484,3.19,0.52,12.5,7,1.791759469228055,0.0788111804242897,2.8903717578961645,0.41871033485818504
12.2,0.34,0.5,2.4,0.066,21.0,1.0,3.12,1.18,9.2,6,1.2237754316221157,0.0639133257436528,3.091042453358316,0.7793248768009976
7.4,0.785,0.19,5.2,0.094,98.0,0.99713,3.16,0.52,9.56666666666667,6,1.824549292051046,0.08984070399978947,4.59511985013459,0.41871033485818504
7.8,0.5,0.3,1.9,0.075,22.0,0.9959,3.31,0.56,10.4,6,1.0647107369924282,0.07232066157962612,3.1354942159291497,0.44468582126144574
6.8,0.62,0.08,1.9,0.068,38.0,0.99651,3.42,0.82,9.5,6,1.0647107369924282,0.0657877405380031,3.6635616461296463,0.598836501088704
10.3,0.27,0.56,1.4,0.047,8.0,0.99471,3.16,0.51,11.8,6,0.8754687373538999,0.045928931888399804,2.1972245773362196,0.412109650826833
8.9,0.4,0.51,2.6,0.052,27.0,0.995,3.32,0.9,13.4,7,1.2809338454620642,0.050693114315518116,3.332204510175204,0.6418538861723948
7.7,0.28,0.3,2.0,0.062,34.0,0.9952,3.28,0.9,11.3,7,1.0986122886681098,0.06015392281974709,3.5553480614894135,0.6418538861723948
6.1,0.715,0.1,2.6,0.053,27.0,0.99362,3.57,0.5,11.9,5,1.2809338454620642,0.05164323315183845,3.332204510175204,0.4054651081081644
8.5,0.21,0.52,1.9,0.09,23.0,0.99648,3.36,0.67,10.4,5,1.0647107369924282,0.08617769624105233,3.1780538303479458,0.5128236264286637
15.6,0.685,0.76,3.7,0.1,43.0,1.0032,2.95,0.68,11.2,7,1.547562508716013,0.09531017980432487,3.784189633918261,0.5187937934151676
9.0,0.38,0.41,2.4,0.103,10.0,0.99604,3.13,0.58,11.9,7,1.2237754316221157,0.09803374027136541,2.3978952727983707,0.4574248470388754
8.8,0.6,0.29,2.2,0.098,15.0,0.9988,3.36,0.49,9.1,5,1.1631508098056809,0.09349034308733889,2.772588722239781,0.3987761199573678
6.7,0.54,0.13,2.0,0.076,36.0,0.9973,3.61,0.64,9.8,5,1.0986122886681098,0.07325046173959267,3.6109179126442243,0.49469624183610705
5.2,0.32,0.25,1.8,0.103,50.0,0.9957,3.38,0.55,9.2,5,1.0296194171811583,0.09803374027136541,3.9318256327243257,0.4382549309311553
8.2,0.635,0.1,2.1,0.073,60.0,0.99638,3.29,0.75,10.9,6,1.1314021114911006,0.07045846364856141,4.110873864173311,0.5596157879354227
11.2,0.66,0.24,2.5,0.085,53.0,0.9993,3.06,0.72,11.0,6,1.252762968495368,0.08157998699242287,3.9889840465642745,0.5423242908253617
10.0,0.56,0.24,2.2,0.079,58.0,0.9991,3.18,0.56,10.1,6,1.1631508098056809,0.0760346862759976,4.07753744390572,0.44468582126144574
7.4,0.55,0.19,1.8,0.0819999999999999,34.0,0.99655,3.49,0.68,10.5,5,1.0296194171811583,0.0788111804242897,3.5553480614894135,0.5187937934151676
6.6,0.61,0.0,1.6,0.069,8.0,0.99396,3.33,0.37,10.4,4,0.9555114450274363,0.06672363204290818,2.1972245773362196,0.31481073984003355
7.0,0.5,0.14,1.8,0.078,23.0,0.99636,3.53,0.61,10.4,5,1.0296194171811583,0.07510747248680541,3.1780538303479458,0.4762341789963716
10.2,0.645,0.36,1.8,0.053,14.0,0.9982,3.17,0.42,10.0,6,1.0296194171811583,0.05164323315183845,2.70805020110221,0.35065687161316933
7.1,0.48,0.28,2.8,0.068,16.0,0.99682,3.24,0.53,10.3,5,1.33500106673234,0.0657877405380031,2.833213344056216,0.4252677354043441
12.5,0.46,0.63,2.0,0.071,15.0,0.9988,2.99,0.87,10.2,5,1.0986122886681098,0.06859279146561172,2.772588722239781,0.6259384308664953
7.1,0.47,0.0,2.2,0.067,14.0,0.99517,3.4,0.58,10.9,4,1.1631508098056809,0.06485097231961631,2.70805020110221,0.4574248470388754
7.3,0.66,0.0,2.0,0.084,23.0,0.9983,3.61,0.96,9.9,6,1.0986122886681098,0.08065790301745447,3.1780538303479458,0.6729444732424258
7.6,0.35,0.6,2.6,0.073,44.0,0.99656,3.38,0.79,11.1,6,1.2809338454620642,0.07045846364856141,3.8066624897703196,0.5822156198526637
10.0,0.44,0.49,2.7,0.077,19.0,0.9963,3.23,0.63,11.6,7,1.308332819650179,0.07417939817425151,2.995732273553991,0.48858001481867097
8.3,0.53,0.0,1.4,0.07,14.0,0.99593,3.25,0.64,10.0,6,0.8754687373538999,0.06765864847381481,2.70805020110221,0.49469624183610705
8.5,0.655,0.49,6.1,0.122,151.0,1.001,3.31,1.14,9.3,5,1.9600947840472698,0.11511280710050457,5.0238805208462765,0.76080582903376
8.7,0.33,0.38,3.3,0.063,19.0,0.99468,3.3,0.73,12.0,7,1.4586150226995167,0.061095099359810875,2.995732273553991,0.5481214085096876
8.6,0.49,0.28,1.9,0.11,136.0,0.9972,2.93,1.95,9.9,6,1.0647107369924282,0.10436001532424277,4.919980925828125,1.0818051703517284
7.4,0.37,0.43,2.6,0.0819999999999999,82.0,0.99708,3.33,0.68,9.7,6,1.2809338454620642,0.0788111804242897,4.418840607796598,0.5187937934151676
7.1,0.43,0.17,1.8,0.0819999999999999,51.0,0.99634,3.49,0.64,10.4,5,1.0296194171811583,0.0788111804242897,3.9512437185814275,0.49469624183610705
9.0,0.6,0.29,2.0,0.069,73.0,0.99654,3.34,0.57,10.0,5,1.0986122886681098,0.06672363204290818,4.30406509320417,0.4510756193602167
10.4,0.38,0.46,2.1,0.104,10.0,0.99664,3.12,0.65,11.8,7,1.1314021114911006,0.09893994785490356,2.3978952727983707,0.5007752879124893
7.1,0.68,0.07,1.9,0.075,51.0,0.99685,3.38,0.52,9.5,5,1.0647107369924282,0.07232066157962612,3.9512437185814275,0.41871033485818504
7.1,0.56,0.14,1.6,0.078,18.0,0.99592,3.27,0.62,9.3,5,0.9555114450274363,0.07510747248680541,2.9444389791664403,0.4824261492442927
7.0,0.69,0.0,1.9,0.114,10.0,0.99636,3.35,0.6,9.7,6,1.0647107369924282,0.10795714150509228,2.3978952727983707,0.4700036292457355
11.6,0.41,0.58,2.8,0.096,101.0,1.00024,3.13,0.53,10.0,5,1.33500106673234,0.0916671885258238,4.624972813284271,0.4252677354043441
6.7,0.28,0.28,2.4,0.012,100.0,0.99064,3.26,0.39,11.7,7,1.2237754316221157,0.011928570865273802,4.61512051684126,0.3293037471426004
9.6,0.38,0.42,1.9,0.071,13.0,0.99659,3.15,0.75,10.5,6,1.0647107369924282,0.06859279146561172,2.6390573296152584,0.5596157879354227
9.6,0.77,0.12,2.9,0.0819999999999999,74.0,0.99865,3.3,0.64,10.4,6,1.3609765531356006,0.0788111804242897,4.31748811353631,0.49469624183610705
7.3,0.35,0.24,2.0,0.067,48.0,0.99576,3.43,0.54,10.0,4,1.0986122886681098,0.06485097231961631,3.8918202981106265,0.43178241642553783
7.1,0.43,0.42,5.5,0.071,128.0,0.9973,3.42,0.71,10.5,5,1.8718021769015913,0.06859279146561172,4.859812404361672,0.5364933705145685
11.1,0.35,0.48,3.1,0.09,21.0,0.9986,3.17,0.53,10.5,5,1.410986973710262,0.08617769624105233,3.091042453358316,0.4252677354043441
7.6,0.42,0.08,2.7,0.084,48.0,0.9968,3.21,0.59,10.0,5,1.308332819650179,0.08065790301745447,3.8918202981106265,0.4637340162321401
12.0,0.45,0.55,2.0,0.073,49.0,0.9997,3.1,0.76,10.3,6,1.0986122886681098,0.07045846364856141,3.912023005428146,0.5653138090500605
7.9,0.5,0.33,2.0,0.084,143.0,0.9968,3.2,0.55,9.5,5,1.0986122886681098,0.08065790301745447,4.969813299576001,0.4382549309311553
5.6,0.915,0.0,2.1,0.0409999999999999,78.0,0.99346,3.68,0.73,11.4,5,1.1314021114911006,0.040181789632831734,4.3694478524670215,0.5481214085096876
9.1,0.66,0.15,3.2,0.0969999999999999,59.0,0.99976,3.28,0.54,9.6,5,1.4350845252893227,0.0925791812930931,4.0943445622221,0.43178241642553783
6.4,0.42,0.09,2.3,0.054,64.0,0.99724,3.41,0.68,10.4,6,1.1939224684724346,0.05259245011917058,4.174387269895637,0.5187937934151676
6.7,0.48,0.02,2.2,0.08,111.0,0.99524,3.1,0.53,9.7,5,1.1631508098056809,0.07696104113612832,4.718498871295094,0.4252677354043441
6.7,0.75,0.12,2.0,0.086,80.0,0.9958,3.38,0.52,10.1,5,1.0986122886681098,0.08250122151174369,4.394449154672439,0.41871033485818504
7.2,0.34,0.21,2.5,0.075,68.0,0.99586,3.37,0.54,10.1,6,1.252762968495368,0.07232066157962612,4.23410650459726,0.43178241642553783
10.9,0.21,0.49,2.8,0.088,32.0,0.9972,3.22,0.68,11.7,6,1.33500106673234,0.08434114843375087,3.4965075614664802,0.5187937934151676
6.8,0.63,0.12,3.8,0.099,126.0,0.9969,3.28,0.61,9.5,5,1.5686159179138452,0.09440067542148431,4.844187086458591,0.4762341789963716
6.2,0.7,0.15,5.1,0.076,27.0,0.99622,3.54,0.6,11.9,6,1.8082887711792655,0.07325046173959267,3.332204510175204,0.4700036292457355
7.8,0.55,0.35,2.2,0.074,66.0,0.9974,3.25,0.56,9.2,5,1.1631508098056809,0.07138999608667294,4.204692619390966,0.44468582126144574
6.1,0.38,0.15,1.8,0.072,19.0,0.9955,3.42,0.57,9.4,5,1.0296194171811583,0.06952606264861023,2.995732273553991,0.4510756193602167
12.8,0.615,0.66,5.8,0.083,42.0,1.0022,3.07,0.73,10.0,7,1.916922612182061,0.07973496801885356,3.7612001156935624,0.5481214085096876
8.2,0.2,0.43,2.5,0.076,51.0,0.99672,3.53,0.81,10.4,6,1.252762968495368,0.07325046173959267,3.9512437185814275,0.5933268452777344
6.1,0.53,0.08,1.9,0.077,45.0,0.99528,3.6,0.68,10.3,6,1.0647107369924282,0.07417939817425151,3.828641396489095,0.5187937934151676
11.1,0.18,0.48,1.5,0.068,15.0,0.9973,3.22,0.64,10.1,6,0.9162907318741551,0.0657877405380031,2.772588722239781,0.49469624183610705
7.7,0.835,0.0,2.6,0.081,14.0,0.9975,3.3,0.52,9.3,5,1.2809338454620642,0.07788653865707122,2.70805020110221,0.41871033485818504
10.3,0.44,0.5,4.5,0.107,13.0,0.998,3.28,0.83,11.5,5,1.7047480922384253,0.10165365372649983,2.6390573296152584,0.6043159668533296
8.3,0.33,0.42,2.3,0.07,20.0,0.99426,3.38,0.77,12.7,7,1.1939224684724346,0.06765864847381481,3.044522437723423,0.5709795465857378
9.2,0.41,0.5,2.5,0.055,25.0,0.9952,3.34,0.79,13.3,7,1.252762968495368,0.053540766928029816,3.258096538021482,0.5822156198526637
7.8,0.63,0.48,1.7,0.1,96.0,0.9961,3.19,0.62,9.5,5,0.9932517730102833,0.09531017980432487,4.574710978503383,0.4824261492442927
6.7,0.855,0.02,1.9,0.064,38.0,0.99472,3.3,0.56,10.75,6,1.0647107369924282,0.06203539091945264,3.6635616461296463,0.44468582126144574
7.3,0.74,0.08,1.7,0.094,45.0,0.99576,3.24,0.5,9.8,5,0.9932517730102833,0.08984070399978947,3.828641396489095,0.4054651081081644
8.1,0.67,0.55,1.8,0.1169999999999999,141.0,0.9968,3.17,0.62,9.4,5,1.0296194171811583,0.11064652008706356,4.955827057601261,0.4824261492442927
9.0,0.48,0.32,2.8,0.084,122.0,0.9984,3.32,0.62,9.4,5,1.33500106673234,0.08065790301745447,4.812184355372417,0.4824261492442927
8.7,0.69,0.0,3.2,0.084,33.0,0.9992,3.36,0.45,9.4,5,1.4350845252893227,0.08065790301745447,3.5263605246161616,0.37156355643248307
6.0,0.58,0.2,2.4,0.075,50.0,0.99467,3.58,0.67,12.5,6,1.2237754316221157,0.07232066157962612,3.9318256327243257,0.5128236264286637
8.3,0.54,0.28,1.9,0.077,40.0,0.9978,3.39,0.61,10.0,6,1.0647107369924282,0.07417939817425151,3.713572066704308,0.4762341789963716
10.5,0.28,0.51,1.7,0.08,24.0,0.9982,3.2,0.89,9.4,6,0.9932517730102833,0.07696104113612832,3.2188758248682006,0.636576829071551
14.0,0.41,0.63,3.8,0.089,47.0,1.0014,3.01,0.81,10.8,6,1.5686159179138452,0.08525984395082342,3.871201010907891,0.5933268452777344
8.6,0.47,0.3,3.0,0.076,135.0,0.9976,3.3,0.53,9.4,5,1.3862943611198906,0.07325046173959267,4.912654885736052,0.4252677354043441
6.8,0.68,0.09,3.9,0.068,29.0,0.99524,3.41,0.52,11.1,4,1.589235205116581,0.0657877405380031,3.4011973816621555,0.41871033485818504
6.2,0.51,0.14,1.9,0.0559999999999999,34.0,0.99396,3.48,0.57,11.5,6,1.0647107369924282,0.05448818528406963,3.5553480614894135,0.4510756193602167
12.2,0.45,0.49,1.4,0.075,6.0,0.9969,3.13,0.63,10.4,5,0.8754687373538999,0.07232066157962612,1.9459101490553132,0.48858001481867097
7.8,0.5,0.09,2.2,0.115,42.0,0.9971,3.18,0.62,9.5,5,1.1631508098056809,0.10885440491208209,3.7612001156935624,0.4824261492442927
8.5,0.47,0.27,1.9,0.0579999999999999,38.0,0.99518,3.16,0.85,11.1,6,1.0647107369924282,0.056380333436107544,3.6635616461296463,0.6151856390902335
13.4,0.27,0.62,2.6,0.0819999999999999,21.0,1.0002,3.16,0.67,9.7,6,1.2809338454620642,0.0788111804242897,3.091042453358316,0.5128236264286637
6.6,0.7,0.08,2.6,0.106,27.0,0.99665,3.44,0.58,10.2,5,1.2809338454620642,0.10074990310014305,3.332204510175204,0.4574248470388754
6.7,0.86,0.07,2.0,0.1,57.0,0.99598,3.6,0.74,11.7,6,1.0986122886681098,0.09531017980432487,4.060443010546419,0.5538851132264376
6.6,0.52,0.04,2.2,0.069,15.0,0.9956,3.4,0.63,9.4,6,1.1631508098056809,0.06672363204290818,2.772588722239781,0.48858001481867097
7.9,0.3,0.68,8.3,0.05,278.0,0.99316,3.01,0.51,12.3,7,2.2300144001592104,0.04879016416943201,5.631211781821365,0.412109650826833
7.7,0.75,0.27,3.8,0.11,89.0,0.99664,3.24,0.45,9.3,5,1.5686159179138452,0.10436001532424277,4.499809670330265,0.37156355643248307
6.9,0.49,0.19,1.7,0.079,26.0,0.99547,3.38,0.64,9.8,6,0.9932517730102833,0.0760346862759976,3.295836866004329,0.49469624183610705
9.8,0.25,0.49,2.7,0.088,33.0,0.9982,3.42,0.9,10.0,6,1.308332819650179,0.08434114843375087,3.5263605246161616,0.6418538861723948
9.9,0.5,0.5,13.8,0.205,82.0,1.00242,3.16,0.75,8.8,5,2.6946271807700692,0.1864795669426183,4.418840607796598,0.5596157879354227
7.7,0.775,0.42,1.9,0.092,86.0,0.9959,3.23,0.59,9.5,5,1.0647107369924282,0.0880108773227133,4.465908118654584,0.4637340162321401
8.1,0.72,0.09,2.8,0.084,49.0,0.9994,3.43,0.72,11.1,6,1.33500106673234,0.08065790301745447,3.912023005428146,0.5423242908253617
9.0,0.82,0.05,2.4,0.081,96.0,0.99814,3.36,0.53,10.0,5,1.2237754316221157,0.07788653865707122,4.574710978503383,0.4252677354043441
7.7,0.62,0.04,3.8,0.084,45.0,0.9978,3.34,0.53,9.5,5,1.5686159179138452,0.08065790301745447,3.828641396489095,0.4252677354043441
8.0,0.77,0.32,2.1,0.079,74.0,0.99656,3.27,0.5,9.8,6,1.1314021114911006,0.0760346862759976,4.31748811353631,0.4054651081081644
7.7,0.69,0.05,2.7,0.075,27.0,0.9974,3.26,0.61,9.1,5,1.308332819650179,0.07232066157962612,3.332204510175204,0.4762341789963716
6.7,0.64,0.23,2.1,0.08,119.0,0.99538,3.36,0.7,10.9,5,1.1314021114911006,0.07696104113612832,4.787491742782046,0.5306282510621704
5.5,0.49,0.03,1.8,0.044,87.0,0.9908,3.5,0.82,14.0,8,1.0296194171811583,0.04305948946044697,4.477336814478207,0.598836501088704
8.0,0.725,0.24,2.8,0.083,62.0,0.99685,3.35,0.56,10.0,6,1.33500106673234,0.07973496801885356,4.143134726391533,0.44468582126144574
11.9,0.38,0.49,2.7,0.098,42.0,1.0004,3.16,0.61,10.3,5,1.308332819650179,0.09349034308733889,3.7612001156935624,0.4762341789963716
6.2,0.64,0.09,2.5,0.081,26.0,0.99538,3.57,0.63,12.0,5,1.252762968495368,0.07788653865707122,3.295836866004329,0.48858001481867097
9.1,0.68,0.11,2.8,0.093,44.0,0.99888,3.31,0.55,9.5,6,1.33500106673234,0.08892620919440151,3.8066624897703196,0.4382549309311553
8.5,0.37,0.32,1.8,0.066,51.0,0.99456,3.38,0.72,11.8,6,1.0296194171811583,0.0639133257436528,3.9512437185814275,0.5423242908253617
6.8,0.63,0.07,2.1,0.089,44.0,0.9953,3.47,0.55,10.4,6,1.1314021114911006,0.08525984395082342,3.8066624897703196,0.4382549309311553
5.6,0.605,0.05,2.4,0.073,25.0,0.99258,3.56,0.55,12.9,5,1.2237754316221157,0.07045846364856141,3.258096538021482,0.4382549309311553
9.5,0.56,0.33,2.4,0.089,67.0,0.9972,3.28,0.73,11.8,7,1.2237754316221157,0.08525984395082342,4.219507705176107,0.5481214085096876
8.7,0.84,0.0,1.4,0.065,33.0,0.9954,3.27,0.55,9.7,5,0.8754687373538999,0.06297479916138844,3.5263605246161616,0.4382549309311553
9.9,0.44,0.46,2.2,0.091,41.0,0.99638,3.18,0.69,11.9,6,1.1631508098056809,0.08709470685093376,3.7376696182833684,0.5247285289349821
10.0,0.31,0.47,2.6,0.085,33.0,0.99965,3.36,0.8,10.5,7,1.2809338454620642,0.08157998699242287,3.5263605246161616,0.5877866649021191
8.0,0.42,0.32,2.5,0.08,122.0,0.99801,3.22,1.07,9.7,5,1.252762968495368,0.07696104113612832,4.812184355372417,0.7275486072772778
7.0,0.5,0.25,2.0,0.07,22.0,0.9963,3.25,0.63,9.2,5,1.0986122886681098,0.06765864847381481,3.1354942159291497,0.48858001481867097
7.9,0.2,0.35,1.7,0.054,15.0,0.99458,3.32,0.8,11.9,7,0.9932517730102833,0.05259245011917058,2.772588722239781,0.5877866649021191
7.5,0.41,0.15,3.7,0.104,94.0,0.99786,3.14,0.58,9.1,5,1.547562508716013,0.09893994785490356,4.553876891600541,0.4574248470388754
6.8,0.65,0.02,2.1,0.078,15.0,0.99498,3.35,0.62,10.4,6,1.1314021114911006,0.07510747248680541,2.772588722239781,0.4824261492442927
6.5,0.88,0.03,5.6,0.079,47.0,0.99572,3.58,0.5,11.2,4,1.8870696490323797,0.0760346862759976,3.871201010907891,0.4054651081081644
6.4,0.63,0.21,1.6,0.08,32.0,0.99689,3.58,0.66,9.8,5,0.9555114450274363,0.07696104113612832,3.4965075614664802,0.5068176023684519
7.2,0.49,0.24,2.2,0.07,36.0,0.996,3.33,0.48,9.4,5,1.1631508098056809,0.06765864847381481,3.6109179126442243,0.3920420877760237
7.9,1.04,0.05,2.2,0.084,29.0,0.9959,3.22,0.55,9.9,6,1.1631508098056809,0.08065790301745447,3.4011973816621555,0.4382549309311553
9.8,0.34,0.39,1.4,0.066,7.0,0.9947,3.19,0.55,11.4,7,0.8754687373538999,0.0639133257436528,2.0794415416798357,0.4382549309311553
8.0,0.42,0.17,2.0,0.073,18.0,0.9972,3.29,0.61,9.2,6,1.0986122886681098,0.07045846364856141,2.9444389791664403,0.4762341789963716
7.5,0.63,0.27,2.0,0.083,91.0,0.99616,3.26,0.58,9.8,6,1.0986122886681098,0.07973496801885356,4.5217885770490405,0.4574248470388754
7.4,0.36,0.29,2.6,0.087,72.0,0.99645,3.39,0.68,11.0,5,1.2809338454620642,0.08342160813907239,4.290459441148391,0.5187937934151676
